COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Manual ON,,"XVCW[003,0].0",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Manual OFF,,"XVCW[003,0].1",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Valve Auto,,"XVCW[003,0].2",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N InterLock,,"XVCW[003,0].3",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N SafetyLock,,"XVCW[003,0].4",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Spare,,"XVCW[003,0].5",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Spare,,"XVCW[003,0].6",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Spare,,"XVCW[003,0].7",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Spare,,"XVCW[003,0].8",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Spare,,"XVCW[003,0].9",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Output,,"XVCW[003,0].10",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Opened,,"XVCW[003,0].11",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Closed,,"XVCW[003,0].12",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Not Opening Alarm,,"XVCW[003,0].13",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Not Closing Alarm,,"XVCW[003,0].14",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Spare,,"XVCW[003,0].15",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Manual ON,,"XVCW[003,1].0",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Manual OFF,,"XVCW[003,1].1",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Valve Auto,,"XVCW[003,1].2",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N InterLock,,"XVCW[003,1].3",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N SafetyLock,,"XVCW[003,1].4",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Spare,,"XVCW[003,1].5",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Spare,,"XVCW[003,1].6",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Lower Seat Active,,"XVCW[003,1].7",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Spare,,"XVCW[003,1].8",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Spare,,"XVCW[003,1].9",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Lower Seat Output,,"XVCW[003,1].10",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Lifted,,"XVCW[003,1].11",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Is Not Lifted,,"XVCW[003,1].12",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Lower Seat Not Lifting Alarm,,"XVCW[003,1].13",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Lower Lift Off Alarm,,"XVCW[003,1].14",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Spare,,"XVCW[003,1].15",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Manual ON,,"XVCW[003,2].0",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Manual OFF,,"XVCW[003,2].1",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Valve Auto,,"XVCW[003,2].2",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N InterLock,,"XVCW[003,2].3",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N SafetyLock,,"XVCW[003,2].4",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Spare,,"XVCW[003,2].5",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Spare,,"XVCW[003,2].6",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Upper Seat Active,,"XVCW[003,2].7",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Spare,,"XVCW[003,2].8",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Spare,,"XVCW[003,2].9",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Upper Seat Output,,"XVCW[003,2].10",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Lifted,,"XVCW[003,2].11",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Is Not Lifted,,"XVCW[003,2].12",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Upper Seat Not Lifting Alarm,,"XVCW[003,2].13",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Upper Lift Off Alarm,,"XVCW[003,2].14",
COMMENT,,,Valve$N﻿XV441-05 - TK441 Discharge Valve$N Spare,,"XVCW[003,2].15",
COMMENT,,,Valve$NXV441-30 - TK441 Inlet Valve$N Manual ON,,"XVCW[004,0].0",
