XV441-05 - TK441 Discharge Valve,XVCW[003
XV441-30 - TK441 Inlet Valve,XVCW[004
XV441-31 - TK441 Inlet Drain Valve,XVCW[005
XV442-05 - TK442 Discharge Valve,XVCW[006
XV442-30 - TK442 Inlet Valve,XVCW[007
XV442-31 - TK442 Inlet Drain Valve,XVCW[008
XV443-05 - TK443 Discharge Valve,XVCW[009
XV443-30 - TK443 Inlet Valve,XVCW[010
XV443-31 - TK443 Inlet Drain Valve,XVCW[011
XV444-05 - TK444 Discharge Valve,XVCW[012
XV444-30 - TK444 Inlet Valve,XVCW[013
XV444-31 - TK444 Inlet Drain Valve,XVCW[014
XV445-05 - TK445 Discharge Valve,XVCW[015
XV445-30 - TK445 Inlet Valve,XVCW[016
XV445-31 - TK445 Inlet Drain Valve,XVCW[017
XV446-05 - TK446 Discharge Valve,XVCW[018
XV446-30 - TK446 Inlet Valve,XVCW[019
XV446-31 - TK446 Inlet Drain Valve,XVCW[020
XV218-21 - Brine valve on VM4 Header 1,XVCW[021
XV218-22 - Brine valve on VM4 Header 2,XVCW[022
XV315-21 - VM4 Header 1 Valve for TK315 product,XVCW[023
XV315-22 - VM4 Header 2 Valve for TK315 product,XVCW[024
XV313-21 - VM4 Header 1 Valve for TK313 product,XVCW[025
XV313-22 - VM4 Header 2 Valve for TK313 product,XVCW[026
XV201-21 - Poly 7 (T201) valve on VM4 Header 1,XVCW[027
XV201-22 - Poly 7 (T201) valve on VM4 Header 2,XVCW[028
XV314-21 - VM4 Header 1 Valve for TK314 product,XVCW[029
XV314-22 - VM4 Header 2 Valve for TK314 product,XVCW[030
XV319-21 - TK319 (New Mixer) connection on VM4 Header 1,XVCW[031
XV319-22 - TK319 (New Mixer) connection on VM4 Header 2,XVCW[032
XV323-21 - TK323 (Mackamine) connection on VM4 Header 1,XVCW[033
XV323-22 - TK323 (Mackamine) connection on VM4 Header 2,XVCW[034
XV325-21 - TK325 (Glycerin) connection on VM4 Header 1,XVCW[035
XV325-22 - TK325 (Glycerin) connection on VM4 Header 2,XVCW[036
XV343-21 - TK343 (Betaine) connection on VM4 Header 1,XVCW[037
XV343-22 - TK343 (Betaine) connection on VM4 Header 2,XVCW[038
XV344-21 - TK344 (Betaine Blend) connection on VM4 Header 1,XVCW[039
XV344-22 - TK344 (Betaine Blend) connection on VM4 Header 2,XVCW[040
XV342-21 - TK342 (26% AES) connection on VM4 Header 1,XVCW[041
XV342-22 - TK342 (26% AES) connection on VM4 Header 2,XVCW[042
XV315-61 - TK315 (Premix) drain valve on VM4,XVCW[043
XV313-61 - TK313 (Premix) drain valve on VM4,XVCW[044
XV314-61 - TK314 (Premix) drain valve on VM4,XVCW[045
XV343-60 - TK343 (Beataine) sprayball valve,XVCW[046
XV342-14 - PP342-15 bypass valve,XVCW[047
XV326-05 - TK326 (Centronium) discharge valve,XVCW[048
XV326-30 - TK326 (Centronium) inlet valve,XVCW[049
XV326-60 - TK326 (Centronium) CIP valve,XVCW[052
XV342-08 - Pump 342-10 bypass valve,XVCW[053
XV323-08 - Pump 323-10 (TK323 discharge pump) bypass valve,XVCW[054
